"index","Data","Hora","PRECIPITACIO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRESSIO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)","PRESSIO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)","RADIACAO GLOBAL (Kj/m)","TEMPERATURA DO AR - BULBO SECO, HORARIA (C)","TEMPERATURA DO PONTO DE ORVALHO (C)","TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C)","TEMPERATURA MINIMA NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C)","UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)","UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIRECCIO HORARIA (gr) ( (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)","region","state","station","station_code","latitude","longitude","height"
170161,2021-01-11,01:00:00,0,1006,1006,1004.9,0,23.5,22.1,24,23.5,22.4,21.9,92,90,92,308,0.9,0.2,23.75,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170167,2021-01-11,07:00:00,0,1004.7,1005.1,1004.7,0,22.9,22,23,22.8,22.1,21.9,95,94,95,15,0.5,0.2,22.9,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170173,2021-01-11,13:00:00,0,1008.2,1008.2,1007.4,514,26.5,22.3,26.5,25.4,23.4,21.9,86,78,78,7,2.2,0.3,25.95,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170179,2021-01-11,19:00:00,0,1002.6,1004.7,1002.6,2095,30.8,22.5,31,28.9,24,21.4,71,58,61,3,4.1,1.1,29.95,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170185,2021-01-12,01:00:00,0,1005.1,1005.1,1003.9,0,26.5,23.1,26.8,26.4,24.1,23,86,80,81,58,1.9,0.9,26.6,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170191,2021-01-12,07:00:00,0,1004.2,1004.8,1004.2,0,25.1,22.9,25.1,24.9,23.1,22.6,89,86,88,6,1,0.4,25,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170197,2021-01-12,13:00:00,0,1007.5,1007.5,1006.9,966,28.6,24,28.6,26.3,24.2,22.7,84,73,76,354,3.2,0.7,27.45,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170203,2021-01-12,19:00:00,0,1002.4,1003.4,1002.4,1481,28.4,22.5,30.1,28.3,23.9,21.9,72,64,70,92,6.1,2.4,29.2,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170209,2021-01-13,01:00:00,0,1004.3,1004.4,1003.8,0,26.1,23.4,26.2,25.9,23.8,23.4,88,85,85,111,2,0.8,26.05,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170215,2021-01-13,07:00:00,0,1003.2,1003.5,1003.2,0,25.3,23.7,25.6,24.8,24.2,23.6,93,91,91,224,3.4,1.1,25.2,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170221,2021-01-13,13:00:00,0,1006.2,1006.2,1005.6,826,27.1,23.8,27.3,25.9,24.4,23.5,89,81,82,212,2.8,1,26.6,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170227,2021-01-13,19:00:00,10.4,1002,1002.4,1001.8,394,25.4,23.6,30,24.9,24.5,22.8,93,64,89,17,6.6,1.4,27.45,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170233,2021-01-14,01:00:00,0,1004.3,1004.3,1003.6,1,25.9,23.4,26.3,25.7,23.7,23.2,89,84,86,70,1.3,0.7,26,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170239,2021-01-14,07:00:00,0,1001.6,1002.1,1001.6,0,25.6,23.5,25.6,25,24,23.5,93,88,88,77,2.3,0.9,25.3,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170245,2021-01-14,13:00:00,0,1004.6,1004.6,1004.3,1220,28.7,23.3,29.4,26.7,24.9,23.1,88,71,73,5,1.5,0.7,28.05,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170251,2021-01-14,19:00:00,3,1001.4,1002.4,1001.4,80,24,23,24.1,23.9,23.1,22.9,94,94,94,341,4.4,0.5,24,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170257,2021-01-15,01:00:00,0,1003.4,1003.4,1002.7,0,24.8,23.8,25,24.8,23.8,23.6,94,93,94,250,2.4,0.6,24.9,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170263,2021-01-15,07:00:00,0,1002.3,1002.7,1002.3,0,24.6,23.4,24.7,24.6,23.6,23.4,94,93,93,253,2.3,1.2,24.65,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170269,2021-01-15,13:00:00,0,1004.9,1005.1,1004.9,997,26.9,23,27.2,25.6,23.7,22.4,86,79,79,151,2.3,1,26.4,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170275,2021-01-15,19:00:00,0,1000.9,1001.9,1000.9,1125,26.1,22.9,26.2,24.8,23.5,22.5,90,82,83,40,4.3,1.6,25.5,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170281,2021-01-16,01:00:00,0,1002.8,1002.8,1002,0,24.9,23,25.1,24.5,23.3,22.8,91,88,89,65,1.9,0.6,24.8,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
